linenumber,name,address_one,address_two,city,state,zip,amount,date,year
SB17,Church of the Intercession,Dominican Heroes,Attn: Father Griffith,New York,NY,10032,50,4/19/06,2006
SB17,Church of the Intercession,Dominican Heroes,Attn: Father Griffith,New York,NY,10032,265,6/9/06,2006
SB21,Church of the Master,86 Morningside Avenue,,New York,NY,10027,500,1/27/06,2006
SB21,Citizen Action of New York,11 Park Place Suite 814,,New York,NY,10007,250,10/15/07,2007
SB21,"Citizens Against Recidivism, Inc.",137-58 Thurston Street,Lower Level Suite,Springfield Garden,NY,11413,250,8/17/10,2010
SB21,Civitas,1457 Lexington Avenue,,New York,NY,101282506,350,2/27/07,2007
SB21,Civitas,1457 Lexington Avenue,,New York,NY,101282506,600,1/27/09,2009
SB21,Clara Mohammed School,102 W. 116th Street,,New York,NY,10026,250,12/17/08,2008
SB21,"Colonial Park Senior Citizens, Inc.",159-36 Harlem River Drive,,New York,NY,10039,1000,1/28/08,2008
SB21,Community Assoc of East Harlem Triangle,145 East 126th Street,,New York,NY,10035,500,11/17/06,2006
SB21,Community Voices Heard,170 East 116th Street Suite 1E,,New York,NY,10029,750,4/13/05,2005
SB21,Congregation Ramath Orah,550 W 110th Street,,New York,NY,10025,500,11/21/08,2008
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,1000,6/15/05,2005
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,15500,7/24/08,2008
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,800,1/16/09,2009
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,15500,7/1/09,2009
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,300,10/1/09,2009
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,300,10/1/09,2009
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,15500,7/7/10,2010
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,15500,9/8/11,2011
SB21,Congressional Black Caucus Foundation,1720 Massachusetts Ave NW,,Washington,DC,20036,8000,10/7/13,2013
SB21,Cristo Rey New York High School,112 E.106th Street,,New York,NY,10029,2000,10/23/07,2007
SB21,CUNY Dominican Studies Institute,The City College of  North Academi,,New York,NY,10031,2500,12/6/07,2007
SB21,Desfile Nacional Dominicano USA,P. O. Box 208 Hamilton Station,,New York,NY,10031,2250,8/2/10,2010
SB21,Desfile Nacional Dominicano USA,P. O. Box 208 Hamilton Station,,New York,NY,10031,2500,8/9/12,2012
SB21,Desfile Nacional Dominicano USA,P. O. Box 208 Hamilton Station,,New York,NY,10031,1000,8/8/13,2013
SB21,DeWitt Clinton Scholarship & Student Inc.,DeWitt Clinton Alumni Association,PO Box 566,Elmsford,NY,105230566,545,2/4/08,2008
SB21,Dominican Day Parade,PO Box 208,Hamilton Place,New York,NY,10031,2000,8/7/06,2006
SB21,Dominican Day Parade,PO Box 208,Hamilton Place,New York,NY,10031,750,7/14/10,2010
SB21,Dominican Sunday,Attn: Altagracia Hiraldo,981 Amsterdam Avenue Group,New York,NY,10025,1000,2/2/05,2005
SB21,Dominican Sunday,Attn: Altagracia Hiraldo,981 Amsterdam Avenue Group,New York,NY,10025,700,2/5/08,2008
SB21,Dominican Women's Development Center,519 W 189th St,,New York,NY,100404647,1500,9/11/08,2008
SB21,East Harlem Pilot Block/Taino Towers,2253 Third Avenue,,New York,NY,10035,1000,9/8/08,2008
SB21,"Ebony Ecumenical Ensemble, Inc.",Attn: Ms. Betty Forbes,606 Seminary Row - Suite 2W,New York,NY,10027,500,2/14/05,2005
SB21,Ecclesia Word Ministries International,1638 Bronxdale Ave,,Bronx,NY,10462,1000,2/20/07,2007
SB21,El Museo Del Bario,1230 Fifth Avenue at 104th Street,,New York,NY,10029,500,1/5/09,2009
SB21,Eleanor Roosevelt Legacy,P.O. Box 20293,Greeley Square Station,New York,NY,100010003,500,9/11/08,2008
SB21,Ellis Island Medals of Honor Society,232 Madison Avenue,Suite 900,New York,NY,10016,250,8/22/08,2008
SB17,Empowerment Through Recreatiion,560 Malcolm X Boulevard - Suite 2B,,New York,NY,10037,250,9/12/06,2006
SB21,Empowerment Through Recreatiion,560 Malcolm X Boulevard - Suite 2B,,New York,NY,10037,575,9/11/08,2008
SB21,Federation of African-American Civil Service,PO Box 202,,New York,NY,100130202,500,4/20/09,2009
SB21,"Feed The Children, Inc.",P. O. Box 36,,Oklahoma city,OK,731010036,15000,10/14/08,2008
SB21,Fort Washington Houses Services for the E,99 Fort Washington Avenue,,New York,NY,10032,1000,6/1/05,2005
SB21,Franciscan Handmaids of Mary,15 W 124th St,,New York,NY,100275634,1000,8/17/06,2006
SB21,Franciscan Handmaids of Mary,The Board of St. Benedict's Day Nu,15 W 124th St,New York,NY,100275634,500,9/22/09,2009
SB21,Franciscan Handmaids of Mary,The Board of St. Benedict's Day Nu,15 W 124th St,New York,NY,100275634,100,8/30/10,2010
SB21,Fraternite Notre Dame,2290 First Avenue,,New York,NY,10035,6093.21,7/13/07,2007
SB21,Fraternite Notre Dame,2290 First Avenue,,New York,NY,10035,500,4/25/08,2008
SB21,Freedom Park Conservancy/John Lewis Plaza,Attn: Holly Mull,68 Druid Circle NE,Atlanta,GA,30307,1000,2/24/05,2005
SB21,Friends of CHSCC,34 West 134th Street,,New York,NY,10037,500,9/5/08,2008
SB21,Gay & Lesbian Dominican Empowerment Org,24 West 25th Street 9th Floor,,New York,NY,10010,500,5/12/06,2006
SB21,Gay & Lesbian Dominican Empowerment Org,G.A.L.D.E,24 West 25th Street,New York,NY,10010,500,6/1/07,2007
SB21,Gay Men of African Descent,103 East 125th Street Suite 503,,New York,NY,100351641,1000,7/26/06,2006
SB21,Goddard Riverside Community Center,593 Columbus Avenue,,New York,NY,10024,300,12/17/08,2008
SB21,Gotta Belive,P.S. 275,135th Street,New York,NY,10030,500,7/18/05,2005
SB21,Gotta Belive,P.S. 275,135th Street,New York,NY,10030,500,8/22/05,2005
SB21,Gotta Belive,P.S. 275,135th Street,New York,NY,10030,100,7/26/06,2006
SB21,Gotta Belive,P.S. 275,135th Street,New York,NY,10030,100,8/22/06,2006
SB21,Grand Dominican Parade of Bronx,PO Box 208,,New York,NY,10031,1000,7/24/08,2008
SB21,"Greater Hudson Valley Links, Inc.",c/o J. Moolenaar-Marsh PO Box 261,,Younkers,NY,10705,250,2/19/08,2008
SB21,"Greater Hudson Valley Links, Inc.",c/o J. Moolenaar-Marsh PO Box 261,,Younkers,NY,10705,250,3/24/08,2008
SB21,Greater Refuge Temple,2081 Adam Clayton Powell Blvd,,New York,NY,10027,1000,11/3/06,2006
SB21,Gregorio Luperon High School,"Julio Batista 3681 Broadway, #67",,New York,NY,10031,500,11/5/09,2009
SB17,Haiti Support Project,601 50th Street NE,,Washington,DC,20019,1000,7/18/05,2005
SB21,Hansorough Recreation Center,35 West 134th Street,,New York,NY,10037,500,3/30/06,2006
SB21,"Harlem Children's Zone, Inc. N. B. S.",207-211 Lenox Avenue,,New York,NY,10030,250,7/7/08,2008
SB21,Harlem Commonwealth Council Inc.,361 W 125th St,,New York,NY,100274817,1000,5/12/06,2006
SB21,Harlem Congregations for Community Improvement,2854 Frederick Douglass Blvd,,New York,NY,100392145,1000,4/27/07,2007
SB21,Harlem Dowling West Side Center of Children,2090 Adam Clayton Powell Jr Blvd,,New York,NY,100274990,500,3/3/05,2005
SB21,Harlem Interagency Council for the Aging,50 West 139th Street,,New York,NY,10037,500,11/16/09,2009
SB21,HARLEM LITTLE LEAGUE,424 W 110th St,Apt 18A,New York,NY,100252478,10000,12/10/07,2007
SB21,HARLEM LITTLE LEAGUE,424 W 110th St,Apt 18A,New York,NY,100252478,5000,2/19/09,2009
SB21,HARLEM LITTLE LEAGUE,424 W 110Th St,Apt 18A,New York,NY,100252478,1200,8/5/11,2011
SB21,Harlem Mothers S.A.V.E.,P.O. Box 1685,Manhattanville Station,New York,NY,10027,1000,1/7/09,2009
SB21,Harlem Renaissance 5 Mile Classic,2190 Adam Clayton Powell Blvd,,New York,NY,10027,5000,3/22/07,2007
SB21,Harlem Tenant Council,1 West 125th Street,Room 206,New York,NY,10027,100,6/9/06,2006
SB21,Harlem Tenant Council,1 West 125th Street,Room 206,New York,NY,10027,1500,12/19/06,2006
SB21,Harlem Youth Marine Corps Inc.,2366 Fifth Avenue,,New York,NY,10037,350,1/25/07,2007
SB21,Harlem Youth Marine Corps Inc.,2366 Fifth Avenue,,New York,NY,10037,1000,6/7/12,2012
SB21,Helene Fuld College of Nursing,24 East 120th Street,,New York,NY,10035,500,10/8/08,2008
SB21,Heritage Health & Housing,416 West 127th Street,,New York,NY,10027,250,9/14/05,2005
SB21,Hispanic Community Organization for Life,62 West 107th Street,,New York,NY,10025,500,5/2/14,2014
SB21,Hispanic Scholarship Fund,145 W. 45th Street,Suite 300,New York,NY,100364008,1000,7/16/08,2008
SB21,Hope Community Inc.,174 East 104th Street,,New York,NY,10029,5000,7/26/06,2006
SB21,Hostos Community College Foundation,500 Grand Concourse,,Bronx,NY,10451,1000,12/11/08,2008
SB21,Institute for the Puerto Rican/Hispanic E,105 E 22nd St,,New York,NY,100105413,2000,8/29/08,2008
SB21,Institute for the Puerto Rican/Hispanic E,105 E 22nd St,,New York,NY,100105413,2000,9/8/08,2008
SB21,Institute of the Black World,31-35 95th Street,,East Elmhurst,NY,11369,500,7/6/05,2005
SB21,Institute of the Black World,31-35 95th Street,,East Elmhurst,NY,11369,100,8/17/06,2006
SB21,Institute of the Black World,31-35 95th Street,,East Elmhurst,NY,11369,100,9/12/06,2006
SB21,Inwood Little League Baseball,647 W. 207th Street,Suite A,New York,NY,10034,300,5/25/10,2010
SB21,ISA (Institute for Student Achievement),585 Stewart Avenue,Suite 770,Garden city,NY,11530,1500,3/24/09,2009
SB21,Isabella Foundation,c/o Keelyn Mulvey,78 Central Avenue,Rye,NY,10580,500,9/14/05,2005
SB21,Isabella Foundation,c/o Keelyn Mulvey,78 Central Avenue,Rye,NY,10580,1250,9/27/06,2006
SB21,Jackie Robinson Foundation,3 West 35th Street,11th Floor,New York,NY,100012204,5000,3/7/05,2005
SB21,James Weldon Johnson Head Start,120 East 110th Street,,New York,NY,10029,250,4/25/08,2008
SB21,Jazz at Lincoln Center,33 West 60th Street,,New York,NY,10023,1000,4/11/08,2008
SB21,Jazz Foundation of America,322 West 48th Street,,New York,NY,10036,1000,6/1/06,2006
SB21,Jewish War Veterans of New York City,346 Broadway,Rm 817,New York,NY,100133990,250,4/30/07,2007
SB21,"Jewish War Veterans, U.S.A.",346 Broadway,Ste 817,New York,NY,100133990,250,6/1/05,2005
SB21,"Jewish War Veterans, U.S.A.",346 Broadway,Ste 817,New York,NY,100133990,250,7/25/08,2008
SB21,"Jewish War Veterans, U.S.A.",346 Broadway,Ste 817,New York,NY,100133990,250,5/7/09,2009
SB21,"Key Women of America, Inc.",Concourse Village Branch,P.O. Box 607,Bronx,NY,10451,1000,5/18/07,2007
SB21,King David Consistory No. 3,454 W 155th St,,New York,NY,100326303,100,7/24/07,2007
SB21,Lantos Foundation,19 Pleasant Street,2nd Floor,Concord,NH,3301,500,5/6/08,2008
SB21,"Las Marchantas, Inc.",838 Riverside Drive #3F,,New York,NY,10032,500,8/12/08,2008
